"","subslice","subject","slice","date","pnd","group","RMP.start","RMP.pre","RMP.ttx","RMP.xe","cm.start","cm.pre","cm.ttx","cm.xe","rm.start","rm.pre","rm.ttx","rm.xe","ra.start","ra.pre","ra.ttx","ra.xe","tau.start","tau.pre","tau.ttx","tau.xe","hold.start","hold.pre","hold.ttx","hold.xe","inp.start.10","inp.start.n10","inp.pre.10","inp.pre.n10","inp.ttx.10","inp.ttx.n10","inp.xe.10","inp.xe.n10","epsc.events","epsc.peak","epsc.amp","epsc.auc.pAms","epsc.decayfit.b0","epsc.decayfit.b1","epsc.decayfit.tau","epsc.decayfit.r2","mepsc.events","mepsc.peak","mepsc.amp","mepsc.auc.pAms","mepsc.decayfit.b0","mepsc.decayfit.b1","mepsc.decayfit.tau","mepsc.decayfit.r2","max_MC_pA"
"1","F1.23A","F1.23","A","03/12/25",73,"BPA",-61.4,-58.4,-59.1,-61.9,13.73,20.95,20.69,20.83,331.2,103.9,108.1,134.6,68.4,76.1,82.4,99.5,778.6,920.5,967.6,1200,-19.5,-36,-37.8,-28.7,75.6836,14.6484,75.0732,13.4277,NA,NA,86.6699,8.54492,5,51.39159775,-10.25390732,-25.07019655,61.27242403,-9.030276605,1.643022149,0.8793419282,2,58.89892197,-14.28223038,-65.94849348,71.91524533,-10.60665548,2.263175387,0.76934305,NA
"2","F2.10A","F2.10","A","04/23/25",83,"Veh",-73.6,-46.9,-44.3,-45.3,19.64,21.8,18.91,15.18,517,213.5,279.3,310.1,89.6,101.5,110.8,145,1500,1500,1500,1500,-3.1,-109.9,-110.5,-107.4,19.5313,-4.27246,-43.9453,-85.4492,-49.4385,-92.1631,-43.335,-85.4492,81,-74.80197379,-10.22527325,-79.80442779,-64.13575455,-11.64093211,6.529919026,0.9928216268,60,-67.04711825,-10.06469986,-80.42375215,-56.77979958,-10.86026424,6.158929218,0.9920951712,0.152587892500001
"3","F2.6A","F2.6","A","04/24/25",84,"BPA",-73.6,NA,NA,NA,7.63,NA,NA,NA,539.2,NA,NA,NA,143.4,NA,NA,NA,868.4,NA,NA,NA,202.6,NA,NA,NA,231.934,205.688,NA,NA,NA,NA,NA,NA,145,199.7827843,-11.77768001,-81.70818266,211.0382503,-11.17746784,5.527398317,0.9962029123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","F2.6B","F2.6","B","04/24/25",84,"BPA",-72.6,-69.8,-67.8,-66.5,38.71,24.99,28.11,25.21,59.6,168.6,170.6,185.5,60.9,68.8,77.7,87.6,1200,1200,1500,1500,-68.4,-36,-53.7,-38.5,119.629,14.0381,75.6836,3.05176,77.5146,-12.207,59.2041,-7.93457,188,-190.3452651,-14.15820591,-72.86637595,-177.8276696,-13.60543661,2.400732404,0.9743056462,237,7.944871209,-9.003328992,-73.3899445,15.09283676,-6.852621748,4.457462695,0.9717125627,23.49853515
"5","F2.12A","F2.12","A","04/29/25",81,"BPA",-74.4,-71,-76.1,-73.3,29.82,32.49,47.42,34.58,295.6,74.4,57.1,110.7,60.6,86.2,70.9,71.3,1500,1300,1500,1500,-12.2,-39.1,-11.6,-18.9,153.809,37.2314,68.3594,28.0762,231.934,73.2422,165.405,44.5557,563,27.38342714,-19.19734326,-101.4309566,47.03626888,-21.18057696,4.337455797,0.9976827901,323,138.5573626,-13.78978867,-77.23115661,152.2668027,-14.88736549,4.143338361,0.9966843916,-9.002685525
"6","F2.14A","F2.14","A","04/30/25",82,"Veh",-75.7,-76.5,-75.2,-75.6,31.92,101.96,57.91,61.96,109.9,8.9,17.2,28,76.2,28.9,39.3,52.3,1400,696.1,693.2,1100,144.7,81.2,85.4,103.8,347.29,215.454,827.026,326.538,556.03,219.116,485.229,222.168,787,399.5437125,-29.22862618,-100.7400901,428.5129346,-30.48314074,2.405516531,0.9984942916,297,440.466237,-15.03108888,-59.20569423,455.2962665,-15.94021004,2.733555113,0.9966529145,4.27246100000002
"7","F2.1.DREADDA","F2.1.DREADD","A","05/02/25",95,"BPA",-51.4,-64.3,-59.5,NA,67.76,71.18,71.18,NA,70.1,71.1,67.8,NA,63.1,56.9,59.2,NA,2300,2300,2300,NA,-140.4,-128.8,-158.1,NA,-10.9863,-4.88281,68.9697,-50.0488,57.9834,-89.1113,NA,NA,810,-60.53707571,-21.97838089,-116.6457559,-38.98974609,-22.98121328,3.799556233,0.9970433498,133,-57.7768855,-11.33877173,-68.2282355,-46.6577995,-11.67167747,4.538474702,0.9966701093,NA
"8","F2.1.DREADDB","F2.1.DREADD","B","05/02/25",95,"BPA",-72.4,-59.7,NA,NA,17.72,19.42,NA,NA,299.7,343.2,NA,NA,90.4,99.7,NA,NA,1200,1500,NA,NA,-12.8,-29.3,NA,NA,21.3623,6.71387,5.49316,-14.6484,NA,NA,NA,NA,956,-11.9867677,-11.76752637,-76.84833331,-0.6183049379,-12.08778187,4.737984906,0.9979784896,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","F2.11A","F2.11","A","05/06/25",88,"BPA",-48.8,-51.7,-36.2,NA,30.09,38.5,5.49,NA,95.4,75.2,220.8,NA,90.8,80.9,82.6,NA,1400,1500,330.1,NA,-159.3,-155,-137.9,NA,-12.8174,-46.3867,9.76563,-112.915,-15.8691,-101.318,NA,NA,58,-35.44248255,-8.99742407,-50.51053788,-26.3381438,-9.807182531,4.569234286,0.9890624419,13,-77.23294537,-12.0755698,-73.04031044,-65.00165062,-13.10969657,4.728947624,0.9781209127,NA
"10","F2.11B","F2.11","B","05/06/25",88,"BPA",-58.4,-43.3,-28.8,-22.2,8.98,13.45,11.03,12.81,446.4,295.6,454.8,362.8,99.7,104,91.4,105.3,731.7,1000,838.8,1000,-18.3,-133.3,-93.4,-119,37.8418,-1.2207,10.376,-12.8174,-40.2832,-75.6836,-43.9453,-73.8525,106,-12.73101158,-9.837024036,-49.88342604,-4.077773144,-8.898168404,2.137457532,0.9851970108,14,-77.20946993,-9.259903009,-27.31868093,-67.87893261,-9.608433905,2.08415465,0.9705545144,NA
"11","F3.5A","F3.5","A","07/24/25",91,"Veh",-50.6,-56.2,NA,NA,19.42,17.82,NA,NA,190.7,221,NA,NA,11.6,20,NA,NA,211.8,326.4,NA,NA,-127.6,-92.2,NA,NA,-224.609,-397.949,34.79,-18.9209,NA,NA,NA,NA,255,-36.01792076,-10.49278024,-44.01178983,-27.92533489,-8.85941455,2.267067645,0.9880840332,NA,NA,NA,NA,NA,NA,NA,NA,NA
